County,description,Symptoms_mental_illness,Unarmed_Armed,Alleged_Threat_Level,Fleeing,Body_Camera,Geography
Arlington,"Two officers responded to a domestic disturbance call at the residence of Rials-Torres, a violent schizophrenic. During a confrontation, the details of which are unclear, one officer was cut and another shot with a stun gun. A woman in the residence was slightly wounded. Rials-Torres was fatally shot. ",Yes,Unarmed/Did Not Have an Actual Weapon,attack,Not fleeing,No,Urban
Pinellas,"Officers Brian Lynch, Michael Cordiviola and Matthew Enhoffer went to Goodner's residence to investigate him for a shooting. He emerged from the backyard, armed, as officers spoke to his mother. He pointed a gun at an officer, who shot at him. He retreated, then shot an officer in the leg, daring officers to kill him. Officers fatally shot him.",Yes,Allegedly Armed,attack,Not fleeing,No,Suburban
Lincoln,"Ruidoso Police Department Corporal Lance Ledford and Officer Joseph Baily were investigating a domestic disturbance when they both fatally shot Jones in his home. In spite of orders, he had approached them and his mother with a sword. It was the department's first fatal officer-involved shooting.",No,Allegedly Armed,other,Not fleeing,No,Suburban
San Diego,"Officers chased a speeding jeep on Interstate 805, finding it abandoned near Mesa College Drive. They spread out, looking for the driver, Fiel. When they found him, he ran, shooting. Fiel hit Officer Heather L. Seddon in the neck. Officers Joshua Hodge and Mario Larrea fatally shot him in response. Seddon survived.",Yes,Allegedly Armed,attack,Foot,Yes,Suburban
Cook,"Wade, a suspect in a dollar store robbery, fled officers on foot to St. John the Baptist Catholic Church, where he tried to hide his money before leaving the building. Wade shot at officers, who fatally shot him. ",No,Allegedly Armed,attack,Foot,No,Suburban
Winnebago,"Informed that he was suicidal, officers visited Farrar's residence to do a welfare check. From his front porch, he began shooting at officers with an AR-15, hitting one. An officer shot him fatally in the chest. He died at Swedish American Hospital. ",Yes,Allegedly Armed,attack,Not fleeing,No,Urban
Sacramento,"Officers responded to a call about Coates shouting at his girlfriend, Sonja Morrow, and hitting the caller, Norman Petersen. Over an hour later, officers went to the couple's residence. Morrow let officers in. Coates, in their bedroom, refused to speak to the officers and pointed a BB gun at them. They fatally shot him as Morrow tried to tell them that the weapon was fake.",Yes,Unarmed/Did Not Have an Actual Weapon,attack,Not fleeing,No,Urban
Kalamazoo,"A chase began on the east side of Kalamazoo County. One of the men was wanted on a warrant of resisting/obstructing an officer. A sheriff's deputy initially was involved in the chase, which later included the state police, Kalamazoo Public Safety and Portage Public Safety. A state trooper, a sheriff's deputy and a Kalamazoo Public Safety officer all fired their weapons",Yes,Allegedly Armed,attack,Car,No,Suburban
Saint Johns,"Cary Lloyd Martin fired at least eight rounds toward authorities after they thought he was ready to give up during a May 14 confrontation at his Florida Avenue home in St. Augustine Beach, according to the Sheriff's Office. Sgt. Earl Edenfield III and Deputy Joshua Butler returned fire striking him multiple times",Yes,Allegedly Armed,attack,Not fleeing,No,Suburban
Honolulu,"Marshalls approached Zalonka's vehicle to arrest him on weapon-related charges. He yelled at deputies, who broke a window to shoot him with a stun gun. When it had no effect, and Zalonka reached for a pistol, he was fatally shot.",No,Allegedly Armed,attack,Not fleeing,No,Suburban
Duval,"Two Jacksonville police officers fatally shot Stallworth at a Westside apartment complex after police said he stuck a gun in an officer's chest. D'Angelo was alleged to have threaten the officers with a gun, causing officers to fight him. During the scuffle, D'Angelo dropped his gun on the patio and began to run away. When D'Angelo, unarmed at that point, reached the bottom of the stairs officers fired shots at him. D'Angelo's DNA was not found on the gun recovered on the patio and an independent autopsy determined he was shot in the back.",No,Unarmed/Did Not Have an Actual Weapon,other,Foot,No,Suburban
Montgomery,Police respond to a disturbance call about a man on the street acting erratically and on PCP(Angel Dust). ,Drug or alcohol use,Unarmed/Did Not Have an Actual Weapon,,,,Suburban
Orange,Alec Ouzounian of Rancho Santa Margarita was killed after Orange County sheriff's deputies encountered him inside a home where they had been called to assist a suicidal man.,Yes,Unclear,other,Not fleeing,No,Suburban
St. Johns,"Deputies responded to a 911 call about Way, who was threatening suicide. When they entered Way's residence, they alleged that Way pointed a machete at them and they fatally shot him. The shooting is still under investigation.",Yes,Allegedly Armed,other,Not fleeing,No,Rural
Halifax,"Lt. Jerry Powell arrived at a break in caused by Michael Tyrone Gallagher. He confronted Gallagher, and then Powell, along with a witness, got into an altercation with Gallagher.During the confrontation, authorities said Powell's taser was used on Gallagher. Powell and the witness then handcuffed him.When Halifax County EMS crews arrived, they found Gallagher unresponsive and immediately took him to the Halifax County Medical Center, where he was later pronounced dead.",No,Unarmed/Did Not Have an Actual Weapon,,,,Rural
Tarrant,"Officers advanced on a residence occupied by Goldston, named in multiple outstanding warrants. Goldston left the residence, entered a pickup truck and backed into a female narcotics officer. Other officers shot him, the fatal bullet entering his neck.",No,Vehicle,attack,Car,No,Suburban
Pierce,Tacoma police shot and killed a man after being called to a noise complaint.,unknown,Allegedly Armed,attack,Not fleeing,No,Suburban
Prince George's,"Around 9 p.m., Corporal Jamal Deider and Deputy Anthony Bynum engaged Young, a domestic violence suspect with two knives, in a car chase. Young rammed the deputy's vehicles in the parking lot of Cora L. Rice Elementary School. Deider and Bynum fatally shot him in response. ",No,Vehicle,other,Car,No,Suburban
Pinal,A Kearny man wielding a Samurai sword was shot and killed by police officers on Friday night after refusing to drop the sword and swinging at police officers.,Unknown,Allegedly Armed,attack,Not fleeing,No,Rural
Jefferson,"Deputies responded to a call about an aggravated assault after Marshall, armed, threatened a group that included his ex-girlfriend. Deputies went to Marshall's home to ask him about the incident. He pointed a semiautomatic pistol at the deputies. Deputy Justin McLin fatally shot him. ",No,Allegedly Armed,attack,Not fleeing,No,Suburban
Oswego,"Deputy Mark Walton did a welfare check on Schwalm, who was suicidal. Schwalm pointed a shotgun at the deputy, who told him to drop the weapon. When Schwalm did not, Walton fatally shot him. ",Yes,Allegedly Armed,attack,Not fleeing,No,Rural
Anoka,"Sergeant William Owens stopped a vehicle for speeding, then attempted to arrest the driver, Holmes, for intoxication and outstanding warrants. Holmes, struggled with Owens, who shot him with a Taser. Owens then shot Holmes with a pistol as Holmes re-entered his vehicle and drove away, dragging the sergeant with him. The car veered off into a parking lot. Holmes died on the scene. ",Drug or alcohol use,Vehicle,attack,Car,No,Suburban
Dutchess,"Michael G. Murphy, who had carjacked a vehicle in southern Dutchess County, was shot and killed by police after he threatened them with a knife.The shooting happened at about 3:30 p.m. Thursday just off Interstate 84, near Exit 11, in the city of Beacon.",No,Allegedly Armed,other,Car,No,Suburban
Gwinnett,"A neighbor called 911 about Roy, a cancer patient threatening suicide. When police responded, he had locked himself into a bathroom. Later, he opened the door, lunging at two officers with a steak knife. They fatally shot him. ",Yes,Allegedly Armed,other,Not fleeing,No,Suburban
Los Angeles,"A deputy responded to a call about an unfamiliar woman knocking on doors at Beach Street residences and asking for people who did not live there. The deputy arrested her, then looked into the vehicle that she was associated with, occupied by Arriguin. Told to put his hands up, he drove into the deputy. The deputy shot at him, then pursued him as he drove away. Arriguin's car lost control and crashed half a mile later.",No,Vehicle,attack,Car,No,Urban
Wake,"After crashing his vehicle, police said Johnson exited the vehicle armed with a handgun in plain view and was told to drop his weapon before being shot multiple times.",Unknown,Allegedly Armed,attack,Car,No,Suburban
Los Angeles,"When deputies arrived, they found a man stabbing another man and when he refused to obey orders and walked towards deputies they open fire.",Unknown,Allegedly Armed,attack,Not fleeing,No,Suburban
Pulaski,"A Desert Storm veteran with PTSD, Frost sat in his truck near Pulaski Storage when Officer A.M. Abdelaziz looked into the driver's side window and saw that he had a pistol in his lap. Abdelaziz called for backup. Frost woke and began shooting. Abdelaziz shot Frost. Frost opened the door of his truck and collapsed on the ground. It is not yet known whether any of his wounds are self-inflicted.",Yes,Allegedly Armed,attack,Not fleeing,No,Rural
